Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
GEESEBAL,2010-04-01,6-012.01,6-012,OWENS VALLEY,OWENS VALLEY - OWENS VALLEY,22.089277,2958451
GEESEBAL,2010-04-01,6-088,6-088,OWL LAKE VALLEY,OWL LAKE VALLEY,4.691052,100004
GEESEBAL,2010-04-01,6-028,6-028,PAHRUMP VALLEY,PAHRUMP VALLEY,27.445611,407322
GEESEBAL,2010-04-01,6-099,6-099,PAINTERS FLAT,PAINTERS FLAT,44.59364,28113
GEESEBAL,2010-04-01,7-039,7-039,PALO VERDE MESA,PALO VERDE MESA,26.735261,1011292
GEESEBAL,2010-04-01,7-038,7-038,PALO VERDE VALLEY,PALO VERDE VALLEY,61.807091,302116
GEESEBAL,2010-04-01,9-024,9-024,PAMO VALLEY,PAMO VALLEY,98.168342,6766
GEESEBAL,2010-04-01,6-058,6-058,PANAMINT VALLEY,PANAMINT VALLEY,31.200975,1165898
GEESEBAL,2010-04-01,5-023,5-023,PANOCHE VALLEY,PANOCHE VALLEY,6.18356,148758
GEESEBAL,2010-04-01,3-032,3-032,PEACH TREE VALLEY,PEACH TREE VALLEY,44.978723,44038
GEESEBAL,2010-04-01,1-030,1-030,PEPPERWOOD TOWN AREA,PEPPERWOOD TOWN AREA,83.314287,28264
GEESEBAL,2010-04-01,2-026,2-026,PESCADERO VALLEY,PESCADERO VALLEY,112.502976,12770
GEESEBAL,2010-04-01,2-001,2-001,PETALUMA VALLEY,PETALUMA VALLEY,73.829972,209830
GEESEBAL,2010-04-01,6-051,6-051,PILOT KNOB VALLEY,PILOT KNOB VALLEY,19.433121,623272
GEESEBAL,2010-04-01,6-092,6-092,PINE CREEK VALLEY,PINE CREEK VALLEY,88.768589,25055
GEESEBAL,2010-04-01,7-006,7-006,PINTO VALLEY,PINTO VALLEY,6.034876,820363
GEESEBAL,2010-04-01,7-049,7-049,PIPES CANYON FAULT VALLEY,PIPES CANYON FAULT VALLEY,5.309472,15213
GEESEBAL,2010-04-01,2-004,2-004,PITTSBURG PLAIN,PITTSBURG PLAIN,65.965922,52115
GEESEBAL,2010-04-01,7-045,7-045,PIUTE VALLEY,PIUTE VALLEY,8.913066,782230
GEESEBAL,2010-04-01,7-052,7-052,PLEASANT VALLEY,PLEASANT VALLEY,6.772222,43336
GEESEBAL,2010-04-01,4-006,4-006,PLEASANT VALLEY,PLEASANT VALLEY,97.785772,89204
GEESEBAL,2010-04-01,5-038,5-038,PONDOSA TOWN AREA,PONDOSA TOWN AREA,113.527424,9353
GEESEBAL,2010-04-01,5-068,5-068,POPE VALLEY,POPE VALLEY,70.519172,32313
GEESEBAL,2010-04-01,9-029,9-029,POTRERO VALLEY,POTRERO VALLEY,77.921282,9083
GEESEBAL,2010-04-01,1-051,1-051,POTTER VALLEY,POTTER VALLEY,69.920063,37054
GEESEBAL,2010-04-01,9-013,9-013,POWAY VALLEY,POWAY VALLEY,115.44648,11080
GEESEBAL,2010-04-01,3-044,3-044,POZO VALLEY,POZO VALLEY,83.576956,30784
GEESEBAL,2010-04-01,1-025,1-025,PRAIRIE CREEK AREA,PRAIRIE CREEK AREA,91.574258,91074
GEESEBAL,2010-04-01,7-040,7-040,QUIEN SABE POINT VALLEY,QUIEN SABE POINT VALLEY,27.986278,99694
GEESEBAL,2010-04-01,3-024,3-024,QUIEN SABE VALLEY,QUIEN SABE VALLEY,70.099466,21173
GEESEBAL,2010-04-01,6-062,6-062,RACE TRACK VALLEY,RACE TRACK VALLEY,42.36485,63448
