Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
EEMETRIC,2009-10-01,6-001,6-001,SURPRISE VALLEY,SURPRISE VALLEY,15.777227,1026748
EEMETRIC,2009-10-01,6-107,6-107,SWEETWATER FLAT,SWEETWATER FLAT,26.333742,17966
EEMETRIC,2009-10-01,6-005.03,6-005,TAHOE VALLEY,TAHOE VALLEY - TAHOE NORTH,68.625029,8678
EEMETRIC,2009-10-01,6-005.01,6-005,TAHOE VALLEY,TAHOE VALLEY - TAHOE SOUTH,63.709995,65254
EEMETRIC,2009-10-01,6-005.02,6-005,TAHOE VALLEY,TAHOE VALLEY - TAHOE WEST,74.824727,27751
EEMETRIC,2009-10-01,6-045,6-045,TEHACHAPI VALLEY EAST,TEHACHAPI VALLEY EAST,11.777163,107747
EEMETRIC,2009-10-01,5-028,5-028,TEHACHAPI VALLEY WEST,TEHACHAPI VALLEY WEST,11.78648,66551
EEMETRIC,2009-10-01,9-005,9-005,TEMECULA VALLEY,TEMECULA VALLEY,28.630606,394460
EEMETRIC,2009-10-01,1-040,1-040,TEN MILE RIVER VALLEY,TEN MILE RIVER VALLEY,56.063255,6703
EEMETRIC,2009-10-01,7-026,7-026,TERWILLIGER VALLEY,TERWILLIGER VALLEY,17.962959,36068
EEMETRIC,2009-10-01,4-019,4-019,THOUSAND OAKS AREA,THOUSAND OAKS AREA,45.246421,13972
EEMETRIC,2009-10-01,4-015,4-015,TIERRA REJADA,TIERRA REJADA,34.402776,20679
EEMETRIC,2009-10-01,5-037,5-037,TOAD WELL AREA,TOAD WELL AREA,44.461857,14970
EEMETRIC,2009-10-01,3-040,3-040,TORO VALLEY,TORO VALLEY,43.507573,3235
EEMETRIC,2009-10-01,6-098,6-098,TULEDAD CANYON VALLEY,TULEDAD CANYON VALLEY,12.672321,23111
EEMETRIC,2009-10-01,7-010,7-010,TWENTYNINE PALMS VALLEY,TWENTYNINE PALMS VALLEY,5.131982,279940
EEMETRIC,2009-10-01,1-052,1-052,UKIAH VALLEY,UKIAH VALLEY,35.120064,168751
EEMETRIC,2009-10-01,6-022,6-022,UPPER KINGSTON VALLEY,UPPER KINGSTON VALLEY,6.680001,794700
EEMETRIC,2009-10-01,5-013,5-013,UPPER LAKE VALLEY,UPPER LAKE VALLEY,35.755075,32659
EEMETRIC,2009-10-01,6-042,6-042,UPPER MOJAVE RIVER VALLEY,UPPER MOJAVE RIVER VALLEY,10.272918,1844998
EEMETRIC,2009-10-01,4-001,4-001,UPPER OJAI VALLEY,UPPER OJAI VALLEY,41.128235,17117
EEMETRIC,2009-10-01,3-023,3-023,UPPER SANTA ANA VALLEY,UPPER SANTA ANA VALLEY,9.034633,6439
EEMETRIC,2009-10-01,8-002.05,8-002,UPPER SANTA ANA VALLEY,UPPER SANTA ANA VALLEY - CAJON,32.817549,104061
EEMETRIC,2009-10-01,8-002.01,8-002,UPPER SANTA ANA VALLEY,UPPER SANTA ANA VALLEY - CHINO,34.800306,691297
EEMETRIC,2009-10-01,8-002.02,8-002,UPPER SANTA ANA VALLEY,UPPER SANTA ANA VALLEY - CUCAMONGA,43.936736,40576
EEMETRIC,2009-10-01,8-002.04,8-002,UPPER SANTA ANA VALLEY,UPPER SANTA ANA VALLEY - RIALTO-COLTON,30.863662,111495
EEMETRIC,2009-10-01,8-002.03,8-002,UPPER SANTA ANA VALLEY,UPPER SANTA ANA VALLEY - RIVERSIDE-ARLINGTON,37.236171,254388
