Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
DISALEXI,2017-04-01,9-015,9-015,SAN DIEGO RIVER VALLEY,SAN DIEGO RIVER VALLEY,78.040386,1139
DISALEXI,2017-04-01,9-012,9-012,SAN DIEGUITO CREEK,SAN DIEGUITO CREEK,89.71118,1610
DISALEXI,2017-04-01,9-023,9-023,SAN ELIJO VALLEY,SAN ELIJO VALLEY,118.2,25
DISALEXI,2017-04-01,7-027,7-027,SAN FELIPE VALLEY,SAN FELIPE VALLEY,10.135135,74
DISALEXI,2017-04-01,4-012,4-012,SAN FERNANDO VALLEY,SAN FERNANDO VALLEY,71.91721,8431
DISALEXI,2017-04-01,4-013,4-013,SAN GABRIEL VALLEY,SAN GABRIEL VALLEY,75.804246,9139
DISALEXI,2017-04-01,2-024,2-024,SAN GREGORIO VALLEY,SAN GREGORIO VALLEY,94.906482,941
DISALEXI,2017-04-01,8-005,8-005,SAN JACINTO,SAN JACINTO,69.954958,135450
DISALEXI,2017-04-01,5-022.05,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - CHOWCHILLA,88.880399,545640
DISALEXI,2017-04-01,5-022.16,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - COSUMNES,96.425168,250809
DISALEXI,2017-04-01,5-022.07,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - DELTA-MENDOTA,81.977826,2027910
DISALEXI,2017-04-01,5-022.19,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - EAST CONTRA COSTA,85.666897,174874
DISALEXI,2017-04-01,5-022.01,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN,89.452621,1844722
DISALEXI,2017-04-01,5-022.11,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - KAWEAH,86.898367,1384162
DISALEXI,2017-04-01,5-022.14,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - KERN COUNTY,81.440168,3700844
DISALEXI,2017-04-01,5-022.17,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - KETTLEMAN PLAIN,56.118769,135911
DISALEXI,2017-04-01,5-022.08,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - KINGS,80.632406,2979968
DISALEXI,2017-04-01,5-022.06,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - MADERA,77.464743,953242
DISALEXI,2017-04-01,5-022.04,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - MERCED,85.062715,1184991
DISALEXI,2017-04-01,5-022.02,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - MODESTO,97.938894,582738
DISALEXI,2017-04-01,5-022.10,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - PLEASANT VALLEY,57.209537,120709
DISALEXI,2017-04-01,5-022.15,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - TRACY,83.7816,624469
DISALEXI,2017-04-01,5-022.12,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - TULARE LAKE,70.309131,1560868
DISALEXI,2017-04-01,5-022.13,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - TULE,83.459001,1579620
DISALEXI,2017-04-01,5-022.03,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - TURLOCK,100.528622,1022081
DISALEXI,2017-04-01,5-022.09,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - WESTSIDE,73.804659,2400602
DISALEXI,2017-04-01,5-022.18,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - WHITE WOLF,71.976451,162939
DISALEXI,2017-04-01,9-001,9-001,SAN JUAN VALLEY,SAN JUAN VALLEY,90.992077,2272
DISALEXI,2017-04-01,3-009,3-009,SAN LUIS OBISPO VALLEY,SAN LUIS OBISPO VALLEY,73.19391,16683
DISALEXI,2017-04-01,9-007.02,9-007,SAN LUIS REY VALLEY,SAN LUIS REY VALLEY - LOWER SAN LUIS REY VALLEY,81.718162,2764
DISALEXI,2017-04-01,9-007.01,9-007,SAN LUIS REY VALLEY,SAN LUIS REY VALLEY - UPPER SAN LUIS REY VALLEY,92.11642,25597
DISALEXI,2017-04-01,9-032,9-032,SAN MARCOS AREA,SAN MARCOS AREA,89.296296,27
DISALEXI,2017-04-01,9-002,9-002,SAN MATEO VALLEY,SAN MATEO VALLEY,95.777778,9
DISALEXI,2017-04-01,9-003,9-003,SAN ONOFRE VALLEY,SAN ONOFRE VALLEY,,0
DISALEXI,2017-04-01,9-010,9-010,SAN PASQUAL VALLEY,SAN PASQUAL VALLEY,80.72168,7689
DISALEXI,2017-04-01,2-036,2-036,SAN PEDRO VALLEY,SAN PEDRO VALLEY,,0
DISALEXI,2017-04-01,2-029,2-029,SAN RAFAEL VALLEY,SAN RAFAEL VALLEY,,0
DISALEXI,2017-04-01,2-007,2-007,SAN RAMON VALLEY,SAN RAMON VALLEY,62.534392,378
DISALEXI,2017-04-01,3-035,3-035,SAN SIMEON VALLEY,SAN SIMEON VALLEY,102.921296,216
DISALEXI,2017-04-01,2-027,2-027,SAND POINT AREA,SAND POINT AREA,108.683281,20564
DISALEXI,2017-04-01,1-053,1-053,SANEL VALLEY,SANEL VALLEY,77.143498,11812
DISALEXI,2017-04-01,3-022,3-022,SANTA ANA VALLEY,SANTA ANA VALLEY,71.460604,7158
DISALEXI,2017-04-01,3-017,3-017,SANTA BARBARA,SANTA BARBARA,59.018732,694
DISALEXI,2017-04-01,4-004.05,4-004,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - FILLMORE,68.226971,50121
DISALEXI,2017-04-01,4-004.03,4-004,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - MOUND,80.79013,9463
DISALEXI,2017-04-01,4-004.02,4-004,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - OXNARD,81.121069,100761
DISALEXI,2017-04-01,4-004.06,4-004,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - PIRU,48.614571,23073
DISALEXI,2017-04-01,4-004.07,4-004,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - SANTA CLARA RIVER VALLEY EAST,63.611723,6807
DISALEXI,2017-04-01,4-004.04,4-004,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - SANTA PAULA,65.849171,40609
DISALEXI,2017-04-01,2-009.04,2-009,SANTA CLARA VALLEY,SANTA CLARA VALLEY - EAST BAY PLAIN,76.791607,2097
DISALEXI,2017-04-01,2-009.01,2-009,SANTA CLARA VALLEY,SANTA CLARA VALLEY - NILES CONE,78.710218,1791
DISALEXI,2017-04-01,2-009.03,2-009,SANTA CLARA VALLEY,SANTA CLARA VALLEY - SAN MATEO PLAIN,60.260476,883
DISALEXI,2017-04-01,2-009.02,2-009,SANTA CLARA VALLEY,SANTA CLARA VALLEY - SANTA CLARA,64.470521,25306
DISALEXI,2017-04-01,3-001,3-001,SANTA CRUZ MID-COUNTY,SANTA CRUZ MID-COUNTY,67.791604,3978
DISALEXI,2017-04-01,3-027,3-027,SANTA MARGARITA,SANTA MARGARITA,61.92953,298
DISALEXI,2017-04-01,9-004,9-004,SANTA MARGARITA VALLEY,SANTA MARGARITA VALLEY,,0
DISALEXI,2017-04-01,3-012.02,3-012,SANTA MARIA RIVER VALLEY,SANTA MARIA RIVER VALLEY - ARROYO GRANDE,65.45774,6176
DISALEXI,2017-04-01,3-012.01,3-012,SANTA MARIA RIVER VALLEY,SANTA MARIA RIVER VALLEY - SANTA MARIA,76.407981,261632
DISALEXI,2017-04-01,9-011,9-011,SANTA MARIA VALLEY,SANTA MARIA VALLEY,81.661839,3176
DISALEXI,2017-04-01,6-068,6-068,SANTA ROSA FLAT,SANTA ROSA FLAT,,0
DISALEXI,2017-04-01,3-036,3-036,SANTA ROSA VALLEY,SANTA ROSA VALLEY,97.767493,2744
DISALEXI,2017-04-01,1-055.02,1-055,SANTA ROSA VALLEY,SANTA ROSA VALLEY - HEALDSBURG AREA,75.252572,31401
DISALEXI,2017-04-01,1-055.03,1-055,SANTA ROSA VALLEY,SANTA ROSA VALLEY - RINCON VALLEY,77.385542,581
DISALEXI,2017-04-01,1-055.01,1-055,SANTA ROSA VALLEY,SANTA ROSA VALLEY - SANTA ROSA PLAIN,88.610393,80789
DISALEXI,2017-04-01,3-015,3-015,SANTA YNEZ RIVER VALLEY,SANTA YNEZ RIVER VALLEY,58.460013,118162
DISALEXI,2017-04-01,1-005,1-005,SCOTT RIVER VALLEY,SCOTT RIVER VALLEY,54.154239,147258
DISALEXI,2017-04-01,5-014,5-014,SCOTTS VALLEY,SCOTTS VALLEY,89.977995,7271
DISALEXI,2017-04-01,6-052,6-052,SEARLES VALLEY,SEARLES VALLEY,,0
DISALEXI,2017-04-01,6-100,6-100,SECRET VALLEY,SECRET VALLEY,62.800391,12269
DISALEXI,2017-04-01,1-016,1-016,SEIAD VALLEY,SEIAD VALLEY,30.082005,439
DISALEXI,2017-04-01,8-008,8-008,SEVEN OAKS VALLEY,SEVEN OAKS VALLEY,,0
DISALEXI,2017-04-01,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,66.650314,257640
DISALEXI,2017-04-01,1-042,1-042,SHERWOOD VALLEY,SHERWOOD VALLEY,,0
DISALEXI,2017-04-01,5-012.02,5-012,SIERRA VALLEY,SIERRA VALLEY - CHILCOOT,107.303587,2342
DISALEXI,2017-04-01,5-012.01,5-012,SIERRA VALLEY,SIERRA VALLEY - SIERRA VALLEY,85.217039,149176
DISALEXI,2017-04-01,6-034,6-034,SILVER LAKE VALLEY,SILVER LAKE VALLEY,,0
DISALEXI,2017-04-01,4-009,4-009,SIMI VALLEY,SIMI VALLEY,72.708558,1297
DISALEXI,2017-04-01,6-105,6-105,SLINKARD VALLEY,SLINKARD VALLEY,,0
DISALEXI,2017-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,59.064917,23245
DISALEXI,2017-04-01,6-033,6-033,SODA LAKE VALLEY,SODA LAKE VALLEY,,0
DISALEXI,2017-04-01,2-037,2-037,SOUTH SAN FRANCISCO,SOUTH SAN FRANCISCO,,0
DISALEXI,2017-04-01,6-082,6-082,SPRING CANYON VALLEY,SPRING CANYON VALLEY,,0
DISALEXI,2017-04-01,5-089,5-089,SQUAW FLAT,SQUAW FLAT,,0
DISALEXI,2017-04-01,5-088,5-088,STONY GORGE RESERVOIR,STONY GORGE RESERVOIR,38.991701,964
DISALEXI,2017-04-01,5-063,5-063,STONYFORD TOWN AREA,STONYFORD TOWN AREA,48.313715,3857
