Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
ENSEMBLE,2015-12-01,6-056,6-056,ROSE VALLEY,ROSE VALLEY,5.606174,191219
ENSEMBLE,2015-12-01,2-028,2-028,ROSS VALLEY,ROSS VALLEY,13.977551,7929
ENSEMBLE,2015-12-01,5-036,5-036,ROUND VALLEY,ROUND VALLEY,,0
ENSEMBLE,2015-12-01,4-020,4-020,RUSSELL VALLEY,RUSSELL VALLEY,15.915221,13836
ENSEMBLE,2015-12-01,5-021.54,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - ANTELOPE,16.132547,85849
ENSEMBLE,2015-12-01,5-021.53,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - BEND,15.560301,101956
ENSEMBLE,2015-12-01,5-021.70,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - BUTTE,21.084353,1187345
ENSEMBLE,2015-12-01,5-021.52,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - COLUSA,16.72663,3238566
ENSEMBLE,2015-12-01,5-021.51,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - CORNING,14.162204,932226
ENSEMBLE,2015-12-01,5-021.56,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - LOS MOLINOS,15.075741,447052
ENSEMBLE,2015-12-01,5-021.64,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - NORTH AMERICAN,15.148291,1466796
ENSEMBLE,2015-12-01,5-021.60,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - NORTH YUBA,21.433897,273445
ENSEMBLE,2015-12-01,5-021.50,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - RED BLUFF,12.04702,1221736
ENSEMBLE,2015-12-01,5-021.66,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - SOLANO,18.03797,1575726
ENSEMBLE,2015-12-01,5-021.65,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - SOUTH AMERICAN,15.646628,1036697
ENSEMBLE,2015-12-01,5-021.61,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - SOUTH YUBA,17.348309,487243
ENSEMBLE,2015-12-01,5-021.62,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - SUTTER,17.831183,1278695
ENSEMBLE,2015-12-01,5-021.57,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - VINA,15.099127,830776
ENSEMBLE,2015-12-01,5-021.69,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - WYANDOTTE CREEK,14.81664,265396
ENSEMBLE,2015-12-01,5-021.67,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - YOLO,16.187217,2372224
ENSEMBLE,2015-12-01,3-004.01,3-004,SALINAS VALLEY,SALINAS VALLEY - 180/400 FOOT AQUIFER,23.557915,402305
ENSEMBLE,2015-12-01,3-004.11,3-004,SALINAS VALLEY,SALINAS VALLEY - ATASCADERO AREA,24.389117,88580
ENSEMBLE,2015-12-01,3-004.02,3-004,SALINAS VALLEY,SALINAS VALLEY - EAST SIDE AQUIFER,21.911733,258318
ENSEMBLE,2015-12-01,3-004.04,3-004,SALINAS VALLEY,SALINAS VALLEY - FOREBAY AQUIFER,22.141935,422897
ENSEMBLE,2015-12-01,3-004.09,3-004,SALINAS VALLEY,SALINAS VALLEY - LANGLEY AREA,28.215417,79223
ENSEMBLE,2015-12-01,3-004.10,3-004,SALINAS VALLEY,SALINAS VALLEY - MONTEREY,22.146848,138524
ENSEMBLE,2015-12-01,3-004.06,3-004,SALINAS VALLEY,SALINAS VALLEY - PASO ROBLES AREA,19.663535,1960485
ENSEMBLE,2015-12-01,3-004.08,3-004,SALINAS VALLEY,SALINAS VALLEY - SEASIDE,20.187891,64995
ENSEMBLE,2015-12-01,3-004.05,3-004,SALINAS VALLEY,SALINAS VALLEY - UPPER VALLEY AQUIFER,20.541914,1070140
ENSEMBLE,2015-12-01,6-017,6-017,SALINE VALLEY,SALINE VALLEY,6.80432,654022
ENSEMBLE,2015-12-01,6-053,6-053,SALT WELLS VALLEY,SALT WELLS VALLEY,4.913046,132519
ENSEMBLE,2015-12-01,3-014,3-014,SAN ANTONIO CREEK VALLEY,SAN ANTONIO CREEK VALLEY,19.969838,303230
ENSEMBLE,2015-12-01,3-028,3-028,SAN BENITO RIVER VALLEY,SAN BENITO RIVER VALLEY,18.688857,108259
ENSEMBLE,2015-12-01,3-033,3-033,SAN CARPOFORO VALLEY,SAN CARPOFORO VALLEY,25.278926,4693
ENSEMBLE,2015-12-01,9-015,9-015,SAN DIEGO RIVER VALLEY,SAN DIEGO RIVER VALLEY,16.436287,38030
ENSEMBLE,2015-12-01,9-012,9-012,SAN DIEGUITO CREEK,SAN DIEGUITO CREEK,25.184577,15457
ENSEMBLE,2015-12-01,9-023,9-023,SAN ELIJO VALLEY,SAN ELIJO VALLEY,25.535651,3969
ENSEMBLE,2015-12-01,7-027,7-027,SAN FELIPE VALLEY,SAN FELIPE VALLEY,13.13405,105140
ENSEMBLE,2015-12-01,4-012,4-012,SAN FERNANDO VALLEY,SAN FERNANDO VALLEY,17.250908,651275
ENSEMBLE,2015-12-01,4-013,4-013,SAN GABRIEL VALLEY,SAN GABRIEL VALLEY,22.925836,568278
ENSEMBLE,2015-12-01,2-024,2-024,SAN GREGORIO VALLEY,SAN GREGORIO VALLEY,19.39339,4085
ENSEMBLE,2015-12-01,8-005,8-005,SAN JACINTO,SAN JACINTO,15.651983,712292
ENSEMBLE,2015-12-01,5-022.05,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - CHOWCHILLA,24.132347,517177
ENSEMBLE,2015-12-01,5-022.16,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - COSUMNES,19.507816,899346
ENSEMBLE,2015-12-01,5-022.07,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - DELTA-MENDOTA,23.239082,3284047
ENSEMBLE,2015-12-01,5-022.19,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - EAST CONTRA COSTA,18.224928,481523
ENSEMBLE,2015-12-01,5-022.01,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN,20.589491,3396205
ENSEMBLE,2015-12-01,5-022.11,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - KAWEAH,24.326914,1940030
ENSEMBLE,2015-12-01,5-022.14,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - KERN COUNTY,18.217363,7620541
ENSEMBLE,2015-12-01,5-022.17,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - KETTLEMAN PLAIN,9.914081,286514
ENSEMBLE,2015-12-01,5-022.08,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - KINGS,22.379941,4406147
ENSEMBLE,2015-12-01,5-022.06,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - MADERA,22.494777,1464453
ENSEMBLE,2015-12-01,5-022.04,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - MERCED,22.11468,2283560
ENSEMBLE,2015-12-01,5-022.02,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - MODESTO,20.915322,1093341
ENSEMBLE,2015-12-01,5-022.10,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - PLEASANT VALLEY,12.213821,216677
ENSEMBLE,2015-12-01,5-022.15,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - TRACY,21.616831,1066923
ENSEMBLE,2015-12-01,5-022.12,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - TULARE LAKE,19.753558,2409466
ENSEMBLE,2015-12-01,5-022.13,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - TULE,22.763742,2046003
ENSEMBLE,2015-12-01,5-022.03,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - TURLOCK,23.504772,1559931
ENSEMBLE,2015-12-01,5-022.09,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - WESTSIDE,18.935244,2780283
ENSEMBLE,2015-12-01,5-022.18,5-022,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - WHITE WOLF,21.514271,483377
ENSEMBLE,2015-12-01,9-001,9-001,SAN JUAN VALLEY,SAN JUAN VALLEY,25.850863,73255
ENSEMBLE,2015-12-01,3-009,3-009,SAN LUIS OBISPO VALLEY,SAN LUIS OBISPO VALLEY,18.868003,57221
ENSEMBLE,2015-12-01,9-007.02,9-007,SAN LUIS REY VALLEY,SAN LUIS REY VALLEY - LOWER SAN LUIS REY VALLEY,22.851283,46175
ENSEMBLE,2015-12-01,9-007.01,9-007,SAN LUIS REY VALLEY,SAN LUIS REY VALLEY - UPPER SAN LUIS REY VALLEY,29.827423,86570
ENSEMBLE,2015-12-01,9-032,9-032,SAN MARCOS AREA,SAN MARCOS AREA,13.919385,9564
ENSEMBLE,2015-12-01,9-002,9-002,SAN MATEO VALLEY,SAN MATEO VALLEY,17.872455,13164
ENSEMBLE,2015-12-01,9-003,9-003,SAN ONOFRE VALLEY,SAN ONOFRE VALLEY,15.90029,5516
ENSEMBLE,2015-12-01,9-010,9-010,SAN PASQUAL VALLEY,SAN PASQUAL VALLEY,27.878181,15720
ENSEMBLE,2015-12-01,2-036,2-036,SAN PEDRO VALLEY,SAN PEDRO VALLEY,16.407595,2765
ENSEMBLE,2015-12-01,2-029,2-029,SAN RAFAEL VALLEY,SAN RAFAEL VALLEY,7.589776,3932
ENSEMBLE,2015-12-01,2-007,2-007,SAN RAMON VALLEY,SAN RAMON VALLEY,15.844489,31509
ENSEMBLE,2015-12-01,3-035,3-035,SAN SIMEON VALLEY,SAN SIMEON VALLEY,27.102816,2344
ENSEMBLE,2015-12-01,2-027,2-027,SAND POINT AREA,SAND POINT AREA,14.938236,100075
ENSEMBLE,2015-12-01,1-053,1-053,SANEL VALLEY,SANEL VALLEY,16.214816,25054
ENSEMBLE,2015-12-01,3-022,3-022,SANTA ANA VALLEY,SANTA ANA VALLEY,19.812311,12249
ENSEMBLE,2015-12-01,3-017,3-017,SANTA BARBARA,SANTA BARBARA,19.984831,26897
ENSEMBLE,2015-12-01,4-004.05,4-004,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - FILLMORE,29.003113,101526
ENSEMBLE,2015-12-01,4-004.03,4-004,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - MOUND,18.952384,61597
ENSEMBLE,2015-12-01,4-004.02,4-004,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - OXNARD,22.654445,250493
