Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
SSEBOP,2011-04-01,7-050,7-050,IRON RIDGE AREA,IRON RIDGE AREA,11.8493,23570
SSEBOP,2011-04-01,2-033,2-033,ISLAIS VALLEY,ISLAIS VALLEY,23.874583,26687
SSEBOP,2011-04-01,6-030,6-030,IVANPAH VALLEY,IVANPAH VALLEY,12.014844,882708
SSEBOP,2011-04-01,7-047,7-047,JACUMBA VALLEY,JACUMBA VALLEY,47.376768,8979
SSEBOP,2011-04-01,5-003,5-003,JESS VALLEY,JESS VALLEY,38.486282,30143
SSEBOP,2011-04-01,7-018.01,7-018,JOHNSON VALLEY,JOHNSON VALLEY - SOGGY LAKE,7.830754,347541
SSEBOP,2011-04-01,7-018.02,7-018,JOHNSON VALLEY,JOHNSON VALLEY - UPPER JOHNSON VALLEY,2.750043,156367
SSEBOP,2011-04-01,5-086,5-086,JOSEPH CREEK,JOSEPH CREEK,27.957043,19950
SSEBOP,2011-04-01,7-062,7-062,JOSHUA TREE,JOSHUA TREE,12.384212,150378
SSEBOP,2011-04-01,6-089,6-089,KANE WASH AREA,KANE WASH AREA,24.504429,26755
SSEBOP,2011-04-01,6-069,6-069,KELSO LANDER VALLEY,KELSO LANDER VALLEY,36.285111,50191
SSEBOP,2011-04-01,6-031,6-031,KELSO VALLEY,KELSO VALLEY,9.748896,1145203
SSEBOP,2011-04-01,2-019,2-019,KENWOOD VALLEY,KENWOOD VALLEY,70.480698,23106
SSEBOP,2011-04-01,5-025,5-025,KERN RIVER VALLEY,KERN RIVER VALLEY,53.523909,356993
SSEBOP,2011-04-01,1-002.02,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,50.294364,337208
SSEBOP,2011-04-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,31.946169,496979
SSEBOP,2011-04-01,1-050,1-050,KNIGHTS VALLEY,KNIGHTS VALLEY,74.062143,18393
SSEBOP,2011-04-01,5-007,5-007,LAKE ALMANOR VALLEY,LAKE ALMANOR VALLEY,28.88898,25716
SSEBOP,2011-04-01,5-046,5-046,LAKE BRITTON AREA,LAKE BRITTON AREA,45.021085,63221
SSEBOP,2011-04-01,7-001,7-001,LANFAIR VALLEY,LANFAIR VALLEY,23.563936,703571
SSEBOP,2011-04-01,6-036.02,6-036,LANGFORD VALLEY,LANGFORD VALLEY - IRWIN,11.795532,47132
SSEBOP,2011-04-01,6-036.01,6-036,LANGFORD VALLEY,LANGFORD VALLEY - LANGFORD WELL LAKE,5.217198,86847
SSEBOP,2011-04-01,1-033,1-033,LARABEE VALLEY,LARABEE VALLEY,53.985951,4342
SSEBOP,2011-04-01,4-008,4-008,LAS POSAS VALLEY,LAS POSAS VALLEY,61.884842,200194
SSEBOP,2011-04-01,5-057,5-057,LAST CHANCE CREEK VALLEY,LAST CHANCE CREEK VALLEY,31.866549,20884
SSEBOP,2011-04-01,7-014,7-014,LAVIC VALLEY,LAVIC VALLEY,5.537562,459882
SSEBOP,2011-04-01,1-012,1-012,LAYTONVILLE VALLEY,LAYTONVILLE VALLEY,78.319492,22589
SSEBOP,2011-04-01,6-027,6-027,LEACH VALLEY,LEACH VALLEY,8.279256,275049
SSEBOP,2011-04-01,6-066,6-066,LEE FLAT,LEE FLAT,10.227753,91213
SSEBOP,2011-04-01,6-106,6-106,LITTLE ANTELOPE VALLEY,LITTLE ANTELOPE VALLEY,37.513002,11191
SSEBOP,2011-04-01,5-065,5-065,LITTLE INDIAN VALLEY,LITTLE INDIAN VALLEY,70.335903,5707
SSEBOP,2011-04-01,1-013,1-013,LITTLE LAKE VALLEY,LITTLE LAKE VALLEY,76.644119,45074
SSEBOP,2011-04-01,1-041,1-041,LITTLE VALLEY,LITTLE VALLEY,82.111354,3655
SSEBOP,2011-04-01,2-010,2-010,LIVERMORE VALLEY,LIVERMORE VALLEY,63.084917,312764
SSEBOP,2011-04-01,2-038,2-038,LOBOS,LOBOS,35.436163,10613
SSEBOP,2011-04-01,3-006,3-006,LOCKWOOD VALLEY,LOCKWOOD VALLEY,58.019265,269554
SSEBOP,2011-04-01,4-017,4-017,LOCKWOOD VALLEY,LOCKWOOD VALLEY,34.502812,97987
SSEBOP,2011-04-01,6-011,6-011,LONG VALLEY,LONG VALLEY,19.971912,320426
SSEBOP,2011-04-01,5-044,5-044,LONG VALLEY,LONG VALLEY,,0
SSEBOP,2011-04-01,6-104,6-104,LONG VALLEY,LONG VALLEY,28.664746,210294
SSEBOP,2011-04-01,5-031,5-031,LONG VALLEY,LONG VALLEY,71.496789,12611
SSEBOP,2011-04-01,5-070,5-070,LOS BANOS CREEK VALLEY,LOS BANOS CREEK VALLEY,50.494114,21748
SSEBOP,2011-04-01,3-008.01,3-008,LOS OSOS VALLEY,LOS OSOS VALLEY - LOS OSOS AREA,45.871541,19010
SSEBOP,2011-04-01,3-008.02,3-008,LOS OSOS VALLEY,LOS OSOS VALLEY - WARDEN CREEK,59.320055,7933
SSEBOP,2011-04-01,7-051,7-051,LOST HORSE VALLEY,LOST HORSE VALLEY,25.476733,77794
SSEBOP,2011-04-01,6-071,6-071,LOST LAKE VALLEY,LOST LAKE VALLEY,7.400488,104530
SSEBOP,2011-04-01,6-021,6-021,LOWER KINGSTON VALLEY,LOWER KINGSTON VALLEY,9.058456,1078042
SSEBOP,2011-04-01,1-014,1-014,LOWER KLAMATH RIVER VALLEY,LOWER KLAMATH RIVER VALLEY,73.552439,30950
SSEBOP,2011-04-01,5-030,5-030,LOWER LAKE VALLEY,LOWER LAKE VALLEY,66.174006,10810
SSEBOP,2011-04-01,1-038,1-038,LOWER LAYTONVILLE VALLEY,LOWER LAYTONVILLE VALLEY,86.039988,9678
SSEBOP,2011-04-01,6-040,6-040,LOWER MOJAVE RIVER VALLEY,LOWER MOJAVE RIVER VALLEY,12.174638,1283607
SSEBOP,2011-04-01,1-060,1-060,LOWER RUSSIAN RIVER VALLEY,LOWER RUSSIAN RIVER VALLEY,73.646134,29887
SSEBOP,2011-04-01,7-019,7-019,LUCERNE VALLEY,LUCERNE VALLEY,12.605365,662912
SSEBOP,2011-04-01,1-008.02,1-008,MAD RIVER VALLEY,MAD RIVER VALLEY - DOWS PRAIRIE SCHOOL AREA,74.794562,68074
SSEBOP,2011-04-01,1-008.01,1-008,MAD RIVER VALLEY,MAD RIVER VALLEY - MAD RIVER LOWLAND,72.235939,105845
