Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
SIMS,2008-03-01,9-007.01,9-007,SAN LUIS REY VALLEY,SAN LUIS REY VALLEY - UPPER SAN LUIS REY VALLEY,83.326901,5234
SIMS,2008-03-01,9-032,9-032,SAN MARCOS AREA,SAN MARCOS AREA,,0
SIMS,2008-03-01,9-002,9-002,SAN MATEO VALLEY,SAN MATEO VALLEY,87.5,2
SIMS,2008-03-01,9-003,9-003,SAN ONOFRE VALLEY,SAN ONOFRE VALLEY,,0
SIMS,2008-03-01,9-010,9-010,SAN PASQUAL VALLEY,SAN PASQUAL VALLEY,79.234371,3695
SIMS,2008-03-01,2-036,2-036,SAN PEDRO VALLEY,SAN PEDRO VALLEY,68.117647,17
SIMS,2008-03-01,2-029,2-029,SAN RAFAEL VALLEY,SAN RAFAEL VALLEY,,0
SIMS,2008-03-01,2-007,2-007,SAN RAMON VALLEY,SAN RAMON VALLEY,86.676471,34
SIMS,2008-03-01,3-035,3-035,SAN SIMEON VALLEY,SAN SIMEON VALLEY,58.478261,92
SIMS,2008-03-01,2-027,2-027,SAND POINT AREA,SAND POINT AREA,71.359594,19814
SIMS,2008-03-01,1-053,1-053,SANEL VALLEY,SANEL VALLEY,62.904246,10433
SIMS,2008-03-01,3-022,3-022,SANTA ANA VALLEY,SANTA ANA VALLEY,76.594115,6253
SIMS,2008-03-01,3-017,3-017,SANTA BARBARA,SANTA BARBARA,106.369565,92
SIMS,2008-03-01,4-004.05,4-004,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - FILLMORE,66.374441,34665
SIMS,2008-03-01,4-004.03,4-004,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - MOUND,57.969182,7301
SIMS,2008-03-01,4-004.02,4-004,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - OXNARD,64.294375,82140
SIMS,2008-03-01,4-004.06,4-004,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - PIRU,54.849185,16318
SIMS,2008-03-01,4-004.07,4-004,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - SANTA CLARA RIVER VALLEY EAST,80.258722,4070
SIMS,2008-03-01,4-004.04,4-004,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY - SANTA PAULA,68.453554,34470
SIMS,2008-03-01,2-009.04,2-009,SANTA CLARA VALLEY,SANTA CLARA VALLEY - EAST BAY PLAIN,79.686441,118
SIMS,2008-03-01,2-009.01,2-009,SANTA CLARA VALLEY,SANTA CLARA VALLEY - NILES CONE,61.429568,717
SIMS,2008-03-01,2-009.03,2-009,SANTA CLARA VALLEY,SANTA CLARA VALLEY - SAN MATEO PLAIN,59.101871,481
SIMS,2008-03-01,2-009.02,2-009,SANTA CLARA VALLEY,SANTA CLARA VALLEY - SANTA CLARA,58.488867,15000
SIMS,2008-03-01,3-001,3-001,SANTA CRUZ MID-COUNTY,SANTA CRUZ MID-COUNTY,62.158297,916
SIMS,2008-03-01,3-027,3-027,SANTA MARGARITA,SANTA MARGARITA,70.224638,138
SIMS,2008-03-01,9-004,9-004,SANTA MARGARITA VALLEY,SANTA MARGARITA VALLEY,,0
SIMS,2008-03-01,3-012.02,3-012,SANTA MARIA RIVER VALLEY,SANTA MARIA RIVER VALLEY - ARROYO GRANDE,59.426423,5518
SIMS,2008-03-01,3-012.01,3-012,SANTA MARIA RIVER VALLEY,SANTA MARIA RIVER VALLEY - SANTA MARIA,55.199983,242295
SIMS,2008-03-01,9-011,9-011,SANTA MARIA VALLEY,SANTA MARIA VALLEY,102.407297,2686
SIMS,2008-03-01,6-068,6-068,SANTA ROSA FLAT,SANTA ROSA FLAT,,0
SIMS,2008-03-01,3-036,3-036,SANTA ROSA VALLEY,SANTA ROSA VALLEY,77.749072,2156
SIMS,2008-03-01,1-055.02,1-055,SANTA ROSA VALLEY,SANTA ROSA VALLEY - HEALDSBURG AREA,50.054507,31005
SIMS,2008-03-01,1-055.03,1-055,SANTA ROSA VALLEY,SANTA ROSA VALLEY - RINCON VALLEY,67.85625,320
SIMS,2008-03-01,1-055.01,1-055,SANTA ROSA VALLEY,SANTA ROSA VALLEY - SANTA ROSA PLAIN,64.556722,71427
SIMS,2008-03-01,3-015,3-015,SANTA YNEZ RIVER VALLEY,SANTA YNEZ RIVER VALLEY,62.147199,103927
SIMS,2008-03-01,1-005,1-005,SCOTT RIVER VALLEY,SCOTT RIVER VALLEY,54.703156,142698
SIMS,2008-03-01,5-014,5-014,SCOTTS VALLEY,SCOTTS VALLEY,66.94125,5566
SIMS,2008-03-01,6-052,6-052,SEARLES VALLEY,SEARLES VALLEY,,0
SIMS,2008-03-01,6-100,6-100,SECRET VALLEY,SECRET VALLEY,24.001925,7273
SIMS,2008-03-01,1-016,1-016,SEIAD VALLEY,SEIAD VALLEY,76.980519,154
SIMS,2008-03-01,8-008,8-008,SEVEN OAKS VALLEY,SEVEN OAKS VALLEY,,0
SIMS,2008-03-01,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,56.652268,248197
SIMS,2008-03-01,1-042,1-042,SHERWOOD VALLEY,SHERWOOD VALLEY,,0
SIMS,2008-03-01,5-012.02,5-012,SIERRA VALLEY,SIERRA VALLEY - CHILCOOT,34.420963,5295
SIMS,2008-03-01,5-012.01,5-012,SIERRA VALLEY,SIERRA VALLEY - SIERRA VALLEY,29.245112,169253
SIMS,2008-03-01,6-034,6-034,SILVER LAKE VALLEY,SILVER LAKE VALLEY,,0
SIMS,2008-03-01,4-009,4-009,SIMI VALLEY,SIMI VALLEY,83.201493,134
