Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
DISALEXI,2015-06-01,5-007,5-007,LAKE ALMANOR VALLEY,LAKE ALMANOR VALLEY,95.44546,31399
DISALEXI,2015-06-01,5-046,5-046,LAKE BRITTON AREA,LAKE BRITTON AREA,125.278315,59792
DISALEXI,2015-06-01,7-001,7-001,LANFAIR VALLEY,LANFAIR VALLEY,3.839402,703571
DISALEXI,2015-06-01,6-036.02,6-036,LANGFORD VALLEY,LANGFORD VALLEY - IRWIN,4.6098,47081
DISALEXI,2015-06-01,6-036.01,6-036,LANGFORD VALLEY,LANGFORD VALLEY - LANGFORD WELL LAKE,2.730607,86847
DISALEXI,2015-06-01,1-033,1-033,LARABEE VALLEY,LARABEE VALLEY,88.844772,4342
DISALEXI,2015-06-01,4-008,4-008,LAS POSAS VALLEY,LAS POSAS VALLEY,92.062084,200649
DISALEXI,2015-06-01,5-057,5-057,LAST CHANCE CREEK VALLEY,LAST CHANCE CREEK VALLEY,79.432505,20920
DISALEXI,2015-06-01,7-014,7-014,LAVIC VALLEY,LAVIC VALLEY,8.281985,459872
DISALEXI,2015-06-01,1-012,1-012,LAYTONVILLE VALLEY,LAYTONVILLE VALLEY,90.581699,22589
DISALEXI,2015-06-01,6-027,6-027,LEACH VALLEY,LEACH VALLEY,1.92606,275049
DISALEXI,2015-06-01,6-066,6-066,LEE FLAT,LEE FLAT,9.839595,91213
DISALEXI,2015-06-01,6-106,6-106,LITTLE ANTELOPE VALLEY,LITTLE ANTELOPE VALLEY,42.348316,11191
DISALEXI,2015-06-01,5-065,5-065,LITTLE INDIAN VALLEY,LITTLE INDIAN VALLEY,15.21938,5707
DISALEXI,2015-06-01,1-013,1-013,LITTLE LAKE VALLEY,LITTLE LAKE VALLEY,80.821822,45073
DISALEXI,2015-06-01,1-041,1-041,LITTLE VALLEY,LITTLE VALLEY,166.299042,3655
DISALEXI,2015-06-01,2-010,2-010,LIVERMORE VALLEY,LIVERMORE VALLEY,44.97512,310128
DISALEXI,2015-06-01,2-038,2-038,LOBOS,LOBOS,152.6498,4743
DISALEXI,2015-06-01,3-006,3-006,LOCKWOOD VALLEY,LOCKWOOD VALLEY,45.225156,267366
DISALEXI,2015-06-01,4-017,4-017,LOCKWOOD VALLEY,LOCKWOOD VALLEY,22.871463,97987
DISALEXI,2015-06-01,6-011,6-011,LONG VALLEY,LONG VALLEY,18.333492,308325
DISALEXI,2015-06-01,5-044,5-044,LONG VALLEY,LONG VALLEY,83.019869,4882
DISALEXI,2015-06-01,6-104,6-104,LONG VALLEY,LONG VALLEY,29.91617,210294
DISALEXI,2015-06-01,5-031,5-031,LONG VALLEY,LONG VALLEY,61.868845,12611
DISALEXI,2015-06-01,5-070,5-070,LOS BANOS CREEK VALLEY,LOS BANOS CREEK VALLEY,1.963123,21748
DISALEXI,2015-06-01,3-008.01,3-008,LOS OSOS VALLEY,LOS OSOS VALLEY - LOS OSOS AREA,93.418496,6877
DISALEXI,2015-06-01,3-008.02,3-008,LOS OSOS VALLEY,LOS OSOS VALLEY - WARDEN CREEK,71.523131,7933
DISALEXI,2015-06-01,7-051,7-051,LOST HORSE VALLEY,LOST HORSE VALLEY,2.25795,77794
DISALEXI,2015-06-01,6-071,6-071,LOST LAKE VALLEY,LOST LAKE VALLEY,1.478293,104530
DISALEXI,2015-06-01,6-021,6-021,LOWER KINGSTON VALLEY,LOWER KINGSTON VALLEY,10.426518,1078042
DISALEXI,2015-06-01,1-014,1-014,LOWER KLAMATH RIVER VALLEY,LOWER KLAMATH RIVER VALLEY,176.422752,22978
DISALEXI,2015-06-01,5-030,5-030,LOWER LAKE VALLEY,LOWER LAKE VALLEY,86.145318,10797
DISALEXI,2015-06-01,1-038,1-038,LOWER LAYTONVILLE VALLEY,LOWER LAYTONVILLE VALLEY,97.071709,9678
DISALEXI,2015-06-01,6-040,6-040,LOWER MOJAVE RIVER VALLEY,LOWER MOJAVE RIVER VALLEY,5.292556,1283404
DISALEXI,2015-06-01,1-060,1-060,LOWER RUSSIAN RIVER VALLEY,LOWER RUSSIAN RIVER VALLEY,127.802925,29263
DISALEXI,2015-06-01,7-019,7-019,LUCERNE VALLEY,LUCERNE VALLEY,3.129388,662912
DISALEXI,2015-06-01,1-008.02,1-008,MAD RIVER VALLEY,MAD RIVER VALLEY - DOWS PRAIRIE SCHOOL AREA,182.41692,46666
DISALEXI,2015-06-01,1-008.01,1-008,MAD RIVER VALLEY,MAD RIVER VALLEY - MAD RIVER LOWLAND,151.106177,75770
DISALEXI,2015-06-01,6-002,6-002,MADELINE PLAINS,MADELINE PLAINS,49.711226,701576
DISALEXI,2015-06-01,3-051,3-051,MAJORS CREEK,MAJORS CREEK,105.095032,463
DISALEXI,2015-06-01,4-022,4-022,MALIBU VALLEY,MALIBU VALLEY,75.308725,2533
DISALEXI,2015-06-01,6-064,6-064,MARBLE CANYON AREA,MARBLE CANYON AREA,5.573455,46600
DISALEXI,2015-06-01,2-039,2-039,MARINA,MARINA,150.4303,6198
DISALEXI,2015-06-01,6-067,6-067,MARTIS VALLEY,MARTIS VALLEY,89.655407,162386
DISALEXI,2015-06-01,7-059,7-059,MASON VALLEY,MASON VALLEY,4.712715,24829
DISALEXI,2015-06-01,1-028,1-028,MATTOLE RIVER VALLEY,MATTOLE RIVER VALLEY,123.286185,13037
DISALEXI,2015-06-01,5-035,5-035,MCCLOUD AREA,MCCLOUD AREA,132.525996,95917
DISALEXI,2015-06-01,5-095,5-095,MEADOW VALLEY,MEADOW VALLEY,100.311717,25783
DISALEXI,2015-06-01,7-017,7-017,MEANS VALLEY,MEANS VALLEY,5.586021,67158
DISALEXI,2015-06-01,6-029,6-029,MESQUITE VALLEY,MESQUITE VALLEY,7.275459,384627
DISALEXI,2015-06-01,6-020,6-020,MIDDLE AMARGOSA VALLEY,MIDDLE AMARGOSA VALLEY,8.157695,1741060
DISALEXI,2015-06-01,5-094,5-094,MIDDLE CREEK,MIDDLE CREEK,82.81506,3174
DISALEXI,2015-06-01,5-087,5-087,MIDDLE FORK FEATHER RIVER,MIDDLE FORK FEATHER RIVER,92.984417,19509
DISALEXI,2015-06-01,6-041,6-041,MIDDLE MOJAVE RIVER VALLEY,MIDDLE MOJAVE RIVER VALLEY,3.947144,949893
DISALEXI,2015-06-01,6-080,6-080,MIDDLE PARK CANYON,MIDDLE PARK CANYON,16.875894,7832
DISALEXI,2015-06-01,5-085,5-085,MIL POTRERO AREA,MIL POTRERO AREA,69.048555,10380
DISALEXI,2015-06-01,9-014,9-014,MISSION VALLEY,MISSION VALLEY,87.623849,28018
DISALEXI,2015-06-01,5-011,5-011,MOHAWK VALLEY,MOHAWK VALLEY,93.611092,85339
DISALEXI,2015-06-01,6-009,6-009,MONO VALLEY,MONO VALLEY,14.528753,516247
DISALEXI,2015-06-01,3-049,3-049,MONTECITO,MONTECITO,93.146305,25112
DISALEXI,2015-06-01,7-020,7-020,MORONGO VALLEY,MORONGO VALLEY,12.793605,32496
DISALEXI,2015-06-01,3-041,3-041,MORRO VALLEY,MORRO VALLEY,97.840396,1817
DISALEXI,2015-06-01,5-008,5-008,MOUNTAIN MEADOWS VALLEY,MOUNTAIN MEADOWS VALLEY,48.892497,36613
DISALEXI,2015-06-01,1-056,1-056,McDOWELL VALLEY,McDOWELL VALLEY,94.461746,6679
DISALEXI,2015-06-01,2-002.01,2-002,NAPA-SONOMA VALLEY,NAPA-SONOMA VALLEY - NAPA VALLEY,94.242449,206254
DISALEXI,2015-06-01,2-002.03,2-002,NAPA-SONOMA VALLEY,NAPA-SONOMA VALLEY - NAPA-SONOMA LOWLANDS,129.04154,140610
